Age,Sex,Education,Native Country,Race,Marital Status,Work Class,Occupation,Hours Per Week,Income,Capital Gain,Capital Loss
Middle-aged,Female,Some-college,United-States,Black,Never-married,Private,Machine-op-inspct,Full-time,Small,None,None
Middle-aged,Male,HS-grad,United-States,White,Married-civ-spouse,Private,Machine-op-inspct,Full-time,Small,Low,None
Middle-aged,Male,Bachelors,United-States,White,Married-civ-spouse,Private,Sales,Over-time,Large,Low,None
Senior,Male,Some-college,United-States,White,Married-civ-spouse,Self-emp-not-inc,Craft-repair,Full-time,Small,None,None
Senior,Male,Some-college,United-States,White,Married-civ-spouse,Private,Craft-repair,Full-time,Small,None,None
Middle-aged,Male,HS-grad,United-States,White,Separated,Local-gov,Exec-managerial,Full-time,Small,None,None
Young,Female,Some-college,United-States,White,Never-married,Private,Sales,Part-time,Small,None,None
Senior,Male,Bachelors,United-States,White,Married-civ-spouse,State-gov,Exec-managerial,Full-time,Large,High,None
Middle-aged,Male,Some-college,United-States,White,Never-married,Private,Exec-managerial,Over-time,Small,None,None
Young,Male,Some-college,United-States,White,Never-married,Private,Other-service,Over-time,Small,None,None
Middle-aged,Female,HS-grad,United-States,White,Separated,State-gov,Adm-clerical,Full-time,Small,None,None
Middle-aged,Female,Assoc-voc,United-States,White,Divorced,Private,Other-service,Full-time,Small,None,None
Middle-aged,Male,Bachelors,United-States,White,Married-spouse-absent,Private,Prof-specialty,Full-time,Small,Low,None
Middle-aged,Male,5th-6th,Mexico,White,Married-civ-spouse,Private,Farming-fishing,Full-time,Small,None,None
Young,Male,Assoc-acdm,United-States,White,Never-married,Private,Other-service,Part-time,Small,None,None
Middle-aged,Male,Assoc-acdm,United-States,White,Divorced,Local-gov,Prof-specialty,Over-time,Small,None,None
Senior,Male,Masters,United-States,White,Married-civ-spouse,Private,Sales,Full-time,Small,None,None
Senior,Male,Some-college,United-States,White,Married-civ-spouse,Self-emp-inc,Sales,Over-time,Small,None,None
Young,Female,Some-college,United-States,White,Never-married,Private,Transport-moving,Full-time,Small,None,None
Senior,Female,Bachelors,United-States,White,Married-civ-spouse,Self-emp-not-inc,Tech-support,Over-time,Large,None,None
Young,Female,10th,United-States,White,Never-married,Private,Sales,Part-time,Small,None,None
Middle-aged,Male,HS-grad,United-States,White,Married-civ-spouse,Private,Machine-op-inspct,Full-time,Small,None,None
Middle-aged,Male,HS-grad,United-States,White,Married-civ-spouse,Private,Sales,Over-time,Small,None,None
Senior,Female,HS-grad,United-States,White,Divorced,Private,Other-service,Full-time,Small,None,None
Senior,Male,HS-grad,United-States,White,Married-civ-spouse,Private,Transport-moving,Full-time,Large,None,None
Middle-aged,Male,HS-grad,United-States,White,Married-civ-spouse,Private,Craft-repair,Full-time,Small,None,None
Senior,Male,HS-grad,United-States,White,Married-civ-spouse,Self-emp-not-inc,Craft-repair,Full-time,Small,None,None
Senior,Male,HS-grad,United-States,White,Married-civ-spouse,Private,Craft-repair,Over-time,Large,None,None
Young,Male,Some-college,United-States,White,Never-married,Self-emp-inc,Prof-specialty,Over-time,Small,None,None
Young,Male,HS-grad,United-States,White,Never-married,Private,Handlers-cleaners,Over-time,Small,None,None
Senior,Male,Some-college,United-States,Black,Married-civ-spouse,Private,Craft-repair,Full-time,Large,None,None
Middle-aged,Male,10th,Mexico,Amer-Indian-Eskimo,Never-married,Private,Other-service,Full-time,Small,None,None
Senior,Male,Masters,United-States,White,Divorced,Private,Prof-specialty,Over-time,Small,None,None
Middle-aged,Male,Bachelors,United-States,White,Married-civ-spouse,Private,Exec-managerial,Full-time,Large,None,None
Middle-aged,Male,Preschool,Mexico,White,Married-civ-spouse,Private,Farming-fishing,Full-time,Small,None,None
Senior,Male,12th,Italy,White,Married-civ-spouse,Private,Craft-repair,Full-time,Small,None,None
Senior,Male,HS-grad,El-Salvador,White,Married-civ-spouse,Self-emp-not-inc,Sales,Over-time,Large,High,None
Middle-aged,Female,Bachelors,United-States,White,Never-married,Local-gov,Exec-managerial,Over-time,Small,None,None
Middle-aged,Male,Assoc-voc,United-States,White,Divorced,Private,Sales,Over-time,Small,None,None
Middle-aged,Female,Bachelors,United-States,White,Married-civ-spouse,Private,Prof-specialty,Full-time,Large,High,None
Young,Female,Assoc-acdm,United-States,White,Never-married,State-gov,Adm-clerical,Full-time,Small,None,None
Senior,Female,Bachelors,United-States,Black,Divorced,Local-gov,Prof-specialty,Full-time,Small,None,None
Middle-aged,Male,Some-college,United-States,White,Never-married,Private,Machine-op-inspct,Full-time,Small,None,None
Young,Female,Some-college,United-States,White,Never-married,Private,Prof-specialty,Part-time,Small,None,None
Middle-aged,Male,Bachelors,United-States,White,Married-civ-spouse,Private,Sales,Full-time,Small,None,None
Middle-aged,Male,HS-grad,United-States,White,Married-civ-spouse,Private,Craft-repair,Full-time,Large,None,None
Middle-aged,Male,HS-grad,United-States,White,Divorced,Private,Transport-moving,Over-time,Small,None,None
Young,Male,11th,United-States,White,Never-married,Self-emp-inc,Prof-specialty,Part-time,Small,None,None
Middle-aged,Male,Bachelors,United-States,White,Married-civ-spouse,Private,Adm-clerical,Over-time,Large,Low,None
Young,Male,Bachelors,United-States,White,Never-married,Local-gov,Prof-specialty,Full-time,Small,None,None
Middle-aged,Male,Masters,United-States,White,Married-civ-spouse,Private,Exec-managerial,Over-time,Large,None,None
Senior,Male,7th-8th,United-States,White,Married-civ-spouse,Private,Machine-op-inspct,Full-time,Small,None,None
Middle-aged,Female,Bachelors,United-States,White,Married-civ-spouse,Local-gov,Prof-specialty,Part-time,Large,None,None
Senior,Male,Some-college,United-States,White,Married-civ-spouse,Private,Sales,Over-time,Small,None,None
Senior,Male,10th,United-States,White,Married-civ-spouse,Private,Exec-managerial,Full-time,Small,None,None
Middle-aged,Male,HS-grad,United-States,White,Married-civ-spouse,Private,Transport-moving,Over-time,Small,None,None
Young,Female,Bachelors,United-States,White,Never-married,Private,Prof-specialty,Full-time,Small,None,None
Young,Male,Some-college,United-States,White,Never-married,Private,Other-service,Part-time,Small,None,None
Middle-aged,Female,Bachelors,United-States,White,Divorced,Local-gov,Prof-specialty,Over-time,Small,None,None
Middle-aged,Male,Some-college,United-States,White,Married-civ-spouse,Private,Exec-managerial,Over-time,Large,None,None
Young,Male,11th,United-States,White,Never-married,Private,Sales,Full-time,Small,None,None
Senior,Male,HS-grad,United-States,Black,Married-civ-spouse,Private,Machine-op-inspct,Full-time,Large,Low,None
Middle-aged,Female,Bachelors,United-States,White,Never-married,Private,Sales,Full-time,Large,None,None
Senior,Female,Masters,United-States,White,Never-married,State-gov,Exec-managerial,Full-time,Small,None,None
Senior,Male,Assoc-voc,United-States,White,Married-civ-spouse,Private,Tech-support,Full-time,Large,Low,None
Middle-aged,Female,7th-8th,Portugal,White,Never-married,Private,Handlers-cleaners,Full-time,Small,None,None
Middle-aged,Female,HS-grad,United-States,White,Divorced,Private,Sales,Full-time,Small,None,None
Middle-aged,Male,Masters,England,White,Married-civ-spouse,Private,Prof-specialty,Full-time,Small,None,None
Senior,Male,Bachelors,United-States,White,Married-civ-spouse,Private,Exec-managerial,Full-time,Large,None,None
Middle-aged,Female,HS-grad,United-States,White,Never-married,Private,Machine-op-inspct,Full-time,Small,None,None
Middle-aged,Female,Bachelors,United-States,White,Never-married,Private,Exec-managerial,Over-time,Small,None,Low
Middle-aged,Female,Assoc-voc,United-States,White,Married-civ-spouse,Private,Prof-specialty,Full-time,Large,None,None
Old,Male,9th,United-States,White,Married-civ-spouse,Private,Other-service,Full-time,Small,Low,None
Middle-aged,Female,Some-college,United-States,White,Never-married,Private,Adm-clerical,Full-time,Small,None,None
Middle-aged,Male,Assoc-voc,United-States,White,Married-civ-spouse,Private,Prof-specialty,Full-time,Small,None,None
Middle-aged,Female,HS-grad,United-States,White,Married-civ-spouse,Private,Other-service,Part-time,Large,None,None
Young,Female,Bachelors,United-States,White,Never-married,Private,Exec-managerial,Full-time,Large,None,None
Young,Male,11th,United-States,Black,Never-married,Private,Other-service,Part-time,Small,None,None
Middle-aged,Male,Some-college,United-States,White,Married-civ-spouse,Self-emp-not-inc,Craft-repair,Over-time,Large,None,None
Young,Male,HS-grad,United-States,White,Married-civ-spouse,Private,Handlers-cleaners,Over-time,Small,None,None
Middle-aged,Male,Masters,United-States,White,Married-civ-spouse,Private,Prof-specialty,Full-time,Small,Low,None
Senior,Male,Bachelors,United-States,White,Married-civ-spouse,Private,Tech-support,Full-time,Small,None,None
Middle-aged,Female,Bachelors,United-States,White,Never-married,Private,Prof-specialty,Full-time,Small,None,None
Middle-aged,Male,Prof-school,Mexico,White,Married-civ-spouse,Private,Craft-repair,Full-time,Large,Low,None
Middle-aged,Female,HS-grad,United-States,White,Divorced,Private,Exec-managerial,Over-time,Small,None,Low
Middle-aged,Female,Bachelors,United-States,White,Never-married,Private,Exec-managerial,Full-time,Small,None,None
Middle-aged,Male,Doctorate,United-States,White,Married-civ-spouse,Self-emp-not-inc,Exec-managerial,Full-time,Small,None,None
Young,Male,Some-college,United-States,White,Divorced,Self-emp-not-inc,Adm-clerical,Full-time,Small,None,None
Young,Male,Masters,United-States,White,Never-married,Local-gov,Protective-serv,Full-time,Small,None,None
Middle-aged,Male,Some-college,United-States,White,Married-civ-spouse,Private,Transport-moving,Over-time,Small,None,None
Young,Female,Some-college,United-States,White,Never-married,Private,Sales,Part-time,Small,None,None
Senior,Female,HS-grad,United-States,White,Widowed,Private,Sales,Full-time,Small,None,None
Senior,Female,9th,Cuba,White,Divorced,Private,Craft-repair,Full-time,Small,None,None
Middle-aged,Female,HS-grad,United-States,White,Never-married,Private,Adm-clerical,Full-time,Small,None,None
Middle-aged,Male,Some-college,United-States,White,Never-married,Private,Tech-support,Full-time,Large,None,None
Middle-aged,Female,HS-grad,United-States,White,Divorced,Private,Exec-managerial,Over-time,Small,None,None
Senior,Female,Bachelors,United-States,White,Divorced,Self-emp-not-inc,Prof-specialty,Full-time,Large,None,None
Senior,Male,HS-grad,United-States,White,Married-civ-spouse,Private,Craft-repair,Over-time,Large,None,None
Senior,Male,Bachelors,United-States,White,Married-civ-spouse,Local-gov,Protective-serv,Full-time,Large,None,None
Senior,Female,HS-grad,United-States,White,Divorced,Private,Other-service,Full-time,Small,None,None
Middle-aged,Male,HS-grad,United-States,White,Married-civ-spouse,Private,Craft-repair,Full-time,Small,None,None
Senior,Male,Some-college,United-States,White,Married-civ-spouse,Federal-gov,Craft-repair,Full-time,Small,None,None
Middle-aged,Male,10th,United-States,White,Married-civ-spouse,Self-emp-not-inc,Craft-repair,Workaholic,Small,None,None
Senior,Male,Some-college,United-States,White,Married-civ-spouse,Private,Exec-managerial,Over-time,Large,High,None
Young,Male,HS-grad,United-States,White,Never-married,Private,Handlers-cleaners,Part-time,Small,None,None
Middle-aged,Male,HS-grad,United-States,White,Married-civ-spouse,Private,Machine-op-inspct,Over-time,Small,None,None
Middle-aged,Male,Some-college,United-States,Black,Never-married,Private,Adm-clerical,Full-time,Small,None,None
Young,Male,HS-grad,United-States,White,Married-civ-spouse,Private,Handlers-cleaners,Full-time,Small,None,None
Young,Male,10th,United-States,White,Never-married,Private,Other-service,Part-time,Small,None,None
Senior,Female,HS-grad,United-States,Black,Divorced,Private,Machine-op-inspct,Full-time,Small,None,None
Senior,Male,Some-college,United-States,White,Married-civ-spouse,Private,Sales,Over-time,Large,None,None
Senior,Male,12th,Cuba,White,Married-civ-spouse,Private,Transport-moving,Full-time,Small,None,None
Young,Male,Some-college,United-States,White,Never-married,Private,Other-service,Part-time,Small,None,None
Young,Male,HS-grad,United-States,Black,Never-married,Private,Other-service,Full-time,Small,None,None
Senior,Male,Doctorate,United-States,White,Married-civ-spouse,State-gov,Exec-managerial,Over-time,Large,None,None
Old,Female,HS-grad,United-States,White,Widowed,Self-emp-not-inc,Adm-clerical,Part-time,Small,None,None
Middle-aged,Male,Assoc-acdm,United-States,White,Married-civ-spouse,Self-emp-inc,Exec-managerial,Full-time,Large,None,None
Senior,Male,HS-grad,United-States,White,Married-civ-spouse,Private,Craft-repair,Full-time,Large,None,None
Middle-aged,Male,Masters,United-States,White,Married-civ-spouse,Private,Sales,Over-time,Large,None,None
Middle-aged,Male,Assoc-voc,United-States,White,Married-civ-spouse,Self-emp-not-inc,Farming-fishing,Over-time,Small,None,None
Senior,Female,Bachelors,United-States,White,Never-married,Private,Sales,Full-time,Small,None,None
Middle-aged,Female,Some-college,United-States,White,Married-civ-spouse,Local-gov,Adm-clerical,Full-time,Large,None,High
Middle-aged,Female,Bachelors,United-States,White,Divorced,Local-gov,Adm-clerical,Full-time,Small,None,None
Middle-aged,Female,Some-college,United-States,White,Separated,Private,Sales,Full-time,Small,None,None
Young,Female,HS-grad,United-States,Black,Never-married,Private,Handlers-cleaners,Part-time,Small,None,None
Senior,Male,10th,United-States,White,Married-civ-spouse,Private,Craft-repair,Over-time,Small,None,None
Middle-aged,Female,HS-grad,United-States,Black,Never-married,Self-emp-not-inc,Sales,Over-time,Small,None,None
Young,Female,Bachelors,United-States,White,Never-married,Private,Sales,Full-time,Small,None,None
Middle-aged,Male,Some-college,United-States,White,Married-civ-spouse,Local-gov,Exec-managerial,Full-time,Small,None,None
Young,Male,Some-college,Jamaica,Black,Never-married,Private,Sales,Full-time,Small,None,None
Senior,Male,Masters,United-States,White,Married-civ-spouse,Private,Craft-repair,Over-time,Large,None,High
Middle-aged,Female,12th,United-States,White,Divorced,Private,Sales,Full-time,Small,None,None
Young,Female,Assoc-voc,United-States,White,Never-married,Private,Sales,Over-time,Small,None,None
Old,Female,HS-grad,United-States,White,Divorced,Self-emp-not-inc,Exec-managerial,Part-time,Small,Low,None
Middle-aged,Male,Bachelors,United-States,Asian-Pac-Islander,Never-married,Private,Adm-clerical,Over-time,Small,None,None
Young,Female,Bachelors,United-States,White,Never-married,Local-gov,Prof-specialty,Over-time,Small,None,None
Senior,Male,Bachelors,United-States,Black,Divorced,Private,Exec-managerial,Full-time,Large,High,None
Middle-aged,Female,HS-grad,United-States,White,Divorced,Self-emp-inc,Other-service,Over-time,Small,None,None
Senior,Male,HS-grad,United-States,White,Married-civ-spouse,Self-emp-inc,Farming-fishing,Full-time,Large,High,None
Senior,Male,HS-grad,United-States,White,Never-married,Private,Machine-op-inspct,Full-time,Small,None,None
Senior,Male,HS-grad,United-States,White,Divorced,Private,Craft-repair,Full-time,Small,None,None
Senior,Male,Some-college,United-States,White,Married-civ-spouse,Self-emp-not-inc,Exec-managerial,Over-time,Small,None,None
Middle-aged,Female,Some-college,United-States,White,Divorced,Private,Other-service,Full-time,Small,None,None
Young,Male,Bachelors,United-States,White,Never-married,Private,Prof-specialty,Full-time,Small,None,None
Senior,Male,HS-grad,United-States,White,Married-civ-spouse,Private,Machine-op-inspct,Full-time,Small,None,None
Middle-aged,Male,HS-grad,United-States,White,Married-civ-spouse,Private,Machine-op-inspct,Full-time,Large,None,None
Young,Female,HS-grad,United-States,White,Never-married,Private,Tech-support,Full-time,Small,None,None
Middle-aged,Male,7th-8th,Mexico,White,Married-civ-spouse,Private,Machine-op-inspct,Full-time,Small,None,None
Senior,Male,HS-grad,United-States,White,Married-civ-spouse,Private,Craft-repair,Over-time,Small,None,None
Old,Male,Doctorate,United-States,White,Married-civ-spouse,State-gov,Prof-specialty,Over-time,Large,None,High
Middle-aged,Male,Some-college,United-States,White,Married-civ-spouse,Private,Exec-managerial,Full-time,Large,None,High
Young,Female,11th,United-States,White,Never-married,Private,Other-service,Part-time,Small,None,None
Senior,Male,Doctorate,United-States,White,Married-civ-spouse,State-gov,Prof-specialty,Over-time,Large,High,None
Middle-aged,Male,Doctorate,United-States,Black,Married-civ-spouse,Self-emp-inc,Prof-specialty,Workaholic,Large,None,None
Senior,Male,HS-grad,United-States,White,Married-civ-spouse,Private,Craft-repair,Full-time,Large,None,None
Middle-aged,Male,Some-college,United-States,White,Married-spouse-absent,Private,Transport-moving,Over-time,Small,None,None
Middle-aged,Male,HS-grad,United-States,White,Married-civ-spouse,Private,Other-service,Full-time,Small,None,None
Middle-aged,Male,Some-college,United-States,White,Married-civ-spouse,Local-gov,Protective-serv,Full-time,Large,None,Low
Middle-aged,Female,Prof-school,United-States,White,Never-married,Private,Prof-specialty,Workaholic,Large,None,None
Young,Male,HS-grad,United-States,White,Never-married,Self-emp-not-inc,Other-service,Full-time,Small,None,None
Middle-aged,Female,HS-grad,United-States,White,Never-married,Private,Prof-specialty,Full-time,Small,None,None
Senior,Female,HS-grad,United-States,White,Divorced,Private,Sales,Full-time,Small,None,None
Middle-aged,Female,Some-college,United-States,Amer-Indian-Eskimo,Never-married,Local-gov,Exec-managerial,Full-time,Small,None,None
Young,Male,Some-college,United-States,White,Never-married,Private,Tech-support,Over-time,Small,None,None
Young,Female,Bachelors,United-States,White,Never-married,Private,Prof-specialty,Full-time,Small,None,None
Senior,Female,HS-grad,United-States,White,Married-civ-spouse,Self-emp-not-inc,Farming-fishing,Full-time,Small,High,None
Middle-aged,Female,Assoc-voc,United-States,White,Married-civ-spouse,Self-emp-inc,Other-service,Full-time,Large,None,None
Young,Female,Some-college,United-States,Black,Never-married,Private,Adm-clerical,Part-time,Small,None,None
Young,Female,HS-grad,United-States,Amer-Indian-Eskimo,Divorced,Local-gov,Adm-clerical,Full-time,Small,None,None
Middle-aged,Male,Some-college,United-States,White,Married-civ-spouse,Private,Tech-support,Over-time,Large,None,None
Senior,Female,11th,United-States,White,Divorced,Private,Other-service,Full-time,Small,None,None
Middle-aged,Male,Bachelors,United-States,White,Never-married,Private,Prof-specialty,Over-time,Small,None,None
Old,Male,Doctorate,United-States,White,Married-civ-spouse,Self-emp-not-inc,Prof-specialty,Part-time,Large,None,High
Senior,Male,7th-8th,United-States,White,Married-civ-spouse,Private,Transport-moving,Full-time,Small,None,None
Middle-aged,Male,HS-grad,United-States,White,Married-civ-spouse,Private,Sales,Full-time,Small,None,None
Young,Female,10th,United-States,Amer-Indian-Eskimo,Never-married,Private,Other-service,Part-time,Small,Low,None
Old,Male,HS-grad,Canada,White,Married-civ-spouse,Private,Transport-moving,Part-time,Small,None,None
Middle-aged,Male,Some-college,United-States,White,Separated,Self-emp-not-inc,Craft-repair,Full-time,Small,None,None
Young,Female,Some-college,Jamaica,Black,Never-married,Private,Machine-op-inspct,Part-time,Small,None,None
Young,Female,HS-grad,Canada,White,Never-married,Private,Prof-specialty,Full-time,Small,None,None
Senior,Male,Assoc-voc,United-States,White,Married-civ-spouse,Private,Adm-clerical,Part-time,Small,None,None
Middle-aged,Female,HS-grad,United-States,White,Married-civ-spouse,Self-emp-inc,Sales,Over-time,Small,None,None
Senior,Male,Bachelors,United-States,Black,Married-civ-spouse,Federal-gov,Tech-support,Full-time,Large,High,None
Young,Female,Bachelors,United-States,Black,Never-married,Local-gov,Adm-clerical,Full-time,Small,None,None
Young,Male,Assoc-voc,United-States,White,Married-civ-spouse,Private,Craft-repair,Full-time,Small,None,None
Middle-aged,Female,Some-college,United-States,White,Divorced,Private,Tech-support,Full-time,Small,None,None
Middle-aged,Male,Bachelors,United-States,White,Never-married,Private,Exec-managerial,Full-time,Small,None,None
Middle-aged,Male,HS-grad,United-States,White,Divorced,Self-emp-not-inc,Farming-fishing,Over-time,Small,None,None
Young,Male,HS-grad,United-States,White,Never-married,Private,Other-service,Full-time,Small,None,None
Middle-aged,Male,HS-grad,United-States,White,Married-civ-spouse,Private,Sales,Full-time,Small,None,None
Senior,Female,HS-grad,United-States,White,Separated,Private,Adm-clerical,Full-time,Small,None,None
Senior,Male,Bachelors,United-States,White,Never-married,Private,Sales,Full-time,Small,None,None
Middle-aged,Female,HS-grad,United-States,White,Never-married,Private,Priv-house-serv,Over-time,Small,None,None
Middle-aged,Male,9th,Mexico,White,Married-civ-spouse,Private,Machine-op-inspct,Full-time,Small,Low,None
Old,Female,HS-grad,United-States,White,Widowed,Self-emp-not-inc,Adm-clerical,Full-time,Small,None,None
Middle-aged,Male,Bachelors,United-States,White,Married-civ-spouse,Private,Exec-managerial,Over-time,Small,None,None
Middle-aged,Female,HS-grad,United-States,White,Married-civ-spouse,Private,Adm-clerical,Full-time,Small,None,None
Middle-aged,Male,Masters,China,Asian-Pac-Islander,Married-civ-spouse,Private,Prof-specialty,Full-time,Small,None,None
Young,Female,Bachelors,United-States,White,Never-married,Private,Exec-managerial,Part-time,Small,None,None
Middle-aged,Male,HS-grad,United-States,White,Married-civ-spouse,Private,Prof-specialty,Over-time,Small,None,Low
Middle-aged,Female,Bachelors,United-States,White,Divorced,Local-gov,Prof-specialty,Full-time,Small,None,None
Young,Female,Some-college,United-States,White,Never-married,Private,Adm-clerical,Full-time,Small,None,None
Old,Female,7th-8th,United-States,White,Widowed,Private,Protective-serv,Part-time,Small,None,None
Middle-aged,Male,HS-grad,United-States,White,Divorced,Private,Craft-repair,Full-time,Small,None,None
Middle-aged,Male,7th-8th,United-States,Other,Married-civ-spouse,Private,Machine-op-inspct,Full-time,Small,None,None
Middle-aged,Female,Some-college,United-States,White,Divorced,Private,Adm-clerical,Full-time,Small,None,None
Young,Male,HS-grad,United-States,White,Never-married,Private,Craft-repair,Full-time,Small,None,None
Middle-aged,Male,Bachelors,United-States,White,Married-civ-spouse,Private,Sales,Full-time,Large,None,Low
Senior,Male,Bachelors,United-States,White,Never-married,Self-emp-not-inc,Transport-moving,Full-time,Small,None,None
Young,Female,Assoc-acdm,United-States,White,Never-married,Private,Transport-moving,Full-time,Small,None,None
Senior,Male,10th,United-States,White,Married-civ-spouse,Private,Machine-op-inspct,Full-time,Small,None,None
Middle-aged,Male,Assoc-voc,United-States,White,Married-civ-spouse,State-gov,Craft-repair,Full-time,Small,None,None
Young,Male,9th,United-States,White,Married-civ-spouse,Private,Machine-op-inspct,Over-time,Small,None,None
Middle-aged,Female,HS-grad,United-States,White,Never-married,Private,Other-service,Full-time,Small,Low,None
Middle-aged,Female,HS-grad,United-States,White,Married-civ-spouse,Private,Sales,Full-time,Small,None,None
Senior,Female,Bachelors,China,Asian-Pac-Islander,Married-civ-spouse,Private,Machine-op-inspct,Full-time,Small,None,None
Middle-aged,Female,Bachelors,United-States,White,Never-married,Federal-gov,Exec-managerial,Full-time,Small,None,None
Young,Male,Some-college,United-States,White,Never-married,Private,Other-service,Full-time,Small,None,None
Young,Male,HS-grad,United-States,Black,Never-married,Private,Adm-clerical,Full-time,Small,None,None
Middle-aged,Male,Bachelors,United-States,White,Married-civ-spouse,Private,Exec-managerial,Over-time,Large,High,None
Middle-aged,Male,Masters,United-States,Black,Married-civ-spouse,State-gov,Prof-specialty,Full-time,Large,High,None
Middle-aged,Male,HS-grad,United-States,White,Divorced,Private,Craft-repair,Over-time,Small,None,None
Middle-aged,Male,HS-grad,United-States,White,Married-civ-spouse,Private,Transport-moving,Full-time,Large,None,None
Middle-aged,Male,Prof-school,United-States,White,Married-civ-spouse,Private,Prof-specialty,Over-time,Large,None,High
Middle-aged,Male,HS-grad,Mexico,White,Married-civ-spouse,Private,Machine-op-inspct,Over-time,Small,None,None
Middle-aged,Male,Bachelors,United-States,Asian-Pac-Islander,Married-civ-spouse,Private,Other-service,Full-time,Large,High,None
Young,Female,Some-college,United-States,Black,Never-married,Private,Sales,Full-time,Small,None,None
Middle-aged,Male,HS-grad,United-States,White,Married-civ-spouse,Private,Handlers-cleaners,Full-time,Large,None,None
Senior,Male,HS-grad,United-States,White,Married-civ-spouse,Private,Transport-moving,Over-time,Small,None,None
Senior,Female,Some-college,United-States,White,Never-married,Private,Adm-clerical,Full-time,Small,None,None
Middle-aged,Male,HS-grad,United-States,White,Never-married,Private,Farming-fishing,Over-time,Small,None,None
Middle-aged,Male,HS-grad,United-States,White,Married-civ-spouse,Private,Machine-op-inspct,Full-time,Large,None,None
Senior,Male,Bachelors,United-States,White,Married-civ-spouse,Self-emp-not-inc,Prof-specialty,Over-time,Large,None,None
Middle-aged,Male,Bachelors,United-States,Black,Never-married,Self-emp-not-inc,Sales,Full-time,Large,None,None
Senior,Male,Bachelors,France,White,Married-civ-spouse,Private,Exec-managerial,Over-time,Large,None,None
Middle-aged,Female,Masters,United-States,White,Divorced,Private,Exec-managerial,Over-time,Small,None,Low
Middle-aged,Male,5th-6th,Mexico,White,Married-civ-spouse,Private,Transport-moving,Full-time,Small,None,None
Senior,Male,Some-college,United-States,White,Married-civ-spouse,Private,Machine-op-inspct,Full-time,Small,None,None
Old,Male,11th,United-States,White,Married-civ-spouse,Self-emp-not-inc,Exec-managerial,Full-time,Small,None,None
Middle-aged,Male,Masters,United-States,Other,Married-civ-spouse,Private,Prof-specialty,Over-time,Small,None,None
Middle-aged,Male,Assoc-acdm,Germany,White,Married-civ-spouse,Private,Craft-repair,Over-time,Large,High,None
Middle-aged,Male,Bachelors,United-States,White,Married-civ-spouse,Private,Prof-specialty,Full-time,Large,None,None
Middle-aged,Male,5th-6th,Guatemala,White,Never-married,Private,Handlers-cleaners,Full-time,Small,None,None
Middle-aged,Male,HS-grad,United-States,Amer-Indian-Eskimo,Married-civ-spouse,Private,Machine-op-inspct,Full-time,Small,None,None
Senior,Female,Masters,United-States,White,Divorced,Local-gov,Prof-specialty,Full-time,Large,None,None
Middle-aged,Male,Bachelors,United-States,White,Married-civ-spouse,Private,Adm-clerical,Full-time,Small,None,None
Young,Female,11th,United-States,White,Never-married,Private,Sales,Part-time,Small,None,None
Middle-aged,Male,Bachelors,England,Black,Married-civ-spouse,Private,Protective-serv,Full-time,Small,None,None
Young,Male,HS-grad,United-States,White,Never-married,Private,Sales,Full-time,Small,None,None
Middle-aged,Male,Some-college,United-States,Black,Married-civ-spouse,Private,Exec-managerial,Over-time,Small,None,None
Senior,Female,HS-grad,United-States,White,Divorced,Private,Adm-clerical,Full-time,Small,None,None
Senior,Male,HS-grad,United-States,White,Married-civ-spouse,Self-emp-not-inc,Exec-managerial,Full-time,Small,None,None
Senior,Male,HS-grad,United-States,White,Married-civ-spouse,Private,Craft-repair,Full-time,Small,None,None
Middle-aged,Female,HS-grad,United-States,White,Never-married,Self-emp-not-inc,Other-service,Full-time,Small,None,None
Young,Male,7th-8th,Mexico,White,Never-married,Private,Handlers-cleaners,Full-time,Small,None,None
Middle-aged,Male,Some-college,United-States,White,Divorced,Private,Handlers-cleaners,Over-time,Small,None,None
Old,Male,HS-grad,United-States,White,Married-civ-spouse,Private,Exec-managerial,Full-time,Small,None,None
Middle-aged,Male,HS-grad,United-States,White,Married-civ-spouse,Private,Transport-moving,Over-time,Small,None,None
Middle-aged,Male,HS-grad,United-States,White,Married-civ-spouse,Private,Craft-repair,Full-time,Small,None,Low
Senior,Male,HS-grad,United-States,White,Married-civ-spouse,Private,Craft-repair,Full-time,Large,None,None
Old,Female,HS-grad,United-States,White,Married-civ-spouse,Private,Adm-clerical,Part-time,Small,None,None
Middle-aged,Male,Some-college,United-States,White,Married-civ-spouse,Local-gov,Other-service,Full-time,Small,None,None
Middle-aged,Female,Some-college,United-States,White,Divorced,Self-emp-not-inc,Sales,Full-time,Small,None,None
Young,Female,9th,Mexico,White,Never-married,Private,Machine-op-inspct,Full-time,Small,None,None
Middle-aged,Male,HS-grad,United-States,White,Married-civ-spouse,Private,Sales,Full-time,Small,None,Low
Middle-aged,Male,Some-college,United-States,White,Married-civ-spouse,Self-emp-not-inc,Exec-managerial,Over-time,Large,None,None
Senior,Male,HS-grad,United-States,White,Divorced,Private,Machine-op-inspct,Full-time,Small,Low,None
Senior,Male,Some-college,United-States,White,Married-civ-spouse,Private,Exec-managerial,Over-time,Large,None,None
Young,Male,Some-college,United-States,White,Married-civ-spouse,Private,Handlers-cleaners,Full-time,Small,None,None
Middle-aged,Male,HS-grad,United-States,Black,Never-married,Private,Craft-repair,Full-time,Small,None,None
Middle-aged,Female,Masters,United-States,White,Divorced,Local-gov,Prof-specialty,Over-time,Small,None,None
